,date,windspeed
505,2014-09-06T23:59:00,4.6
506,2014-09-07T23:59:00,4.7
507,2014-09-08T23:59:00,7.7
508,2014-09-09T23:59:00,7.9
509,2014-09-10T23:59:00,5.8
510,2014-09-11T23:59:00,4.7
511,2014-09-12T23:59:00,5.1
512,2014-09-13T23:59:00,5.1
513,2014-09-14T23:59:00,3.2
514,2014-09-15T23:59:00,3.0
515,2014-09-16T23:59:00,2.2
516,2014-09-17T23:59:00,2.7
517,2014-09-18T23:59:00,2.6
518,2014-09-19T23:59:00,7.6
519,2014-09-20T23:59:00,3.0
520,2014-09-21T23:59:00,1.6
521,2014-09-22T23:59:00,6.8
522,2014-09-23T23:59:00,1.8
523,2014-09-24T23:59:00,5.6
524,2014-09-25T23:59:00,8.2
525,2014-09-26T23:59:00,4.3
526,2014-09-27T23:59:00,2.5
527,2014-09-28T23:59:00,1.8
528,2014-09-29T23:59:00,0.7
529,2014-09-30T23:59:00,4.7
530,2014-10-01T23:59:00,6.1
531,2014-10-02T23:59:00,4.7
532,2014-10-03T23:59:00,4.2
533,2014-10-04T23:59:00,6.7
534,2014-10-05T23:59:00,5.6
535,2014-10-06T23:59:00,3.9
536,2014-10-07T23:59:00,4.7
537,2014-10-08T23:59:00,7.1
538,2014-10-09T23:59:00,5.6
539,2014-10-10T23:59:00,2.2
540,2014-10-11T23:59:00,4.5
541,2014-10-12T23:59:00,2.6
542,2014-10-13T23:59:00,2.6
543,2014-10-14T23:59:00,4.7
544,2014-10-15T23:59:00,5.1
545,2014-10-16T23:59:00,4.0
546,2014-10-17T23:59:00,4.5
547,2014-10-18T23:59:00,6.3
548,2014-10-19T23:59:00,7.7
549,2014-10-20T23:59:00,3.9
550,2014-10-21T23:59:00,3.6
551,2014-10-22T23:59:00,9.4
552,2014-10-23T23:59:00,7.6
553,2014-10-24T23:59:00,4.4
554,2014-10-25T23:59:00,5.7
555,2014-10-26T23:59:00,7.8
556,2014-10-27T23:59:00,5.2
557,2014-10-28T23:59:00,2.8
558,2014-10-29T23:59:00,4.8
559,2014-10-30T23:59:00,3.5
560,2014-10-31T23:59:00,6.4
561,2014-11-01T23:59:00,9.0
562,2014-11-02T23:59:00,10.8
563,2014-11-03T23:59:00,5.9
564,2014-11-04T23:59:00,4.7
565,2014-11-05T23:59:00,4.4
566,2014-11-06T23:59:00,3.1
567,2014-11-07T23:59:00,7.3
568,2014-11-08T23:59:00,6.0
569,2014-11-09T23:59:00,2.7
570,2014-11-10T23:59:00,2.5
571,2014-11-11T23:59:00,3.4
572,2014-11-12T23:59:00,2.7
573,2014-11-13T23:59:00,3.6
574,2014-11-14T23:59:00,7.2
575,2014-11-15T23:59:00,3.6
576,2014-11-16T23:59:00,3.8
577,2014-11-17T23:59:00,3.7
578,2014-11-18T23:59:00,10.0
579,2014-11-19T23:59:00,7.1
580,2014-11-20T23:59:00,7.2
581,2014-11-21T23:59:00,7.7
