,date,windspeed
10216,2014-11-22T23:59:00,5.0
10241,2014-11-23T23:59:00,3.9
10284,2014-11-24T23:59:00,5.4
10309,2014-11-25T23:59:00,5.1
10352,2014-11-26T23:59:00,8.8
10399,2014-11-27T23:59:00,5.1
10424,2014-11-28T23:59:00,5.8
10449,2014-11-29T23:59:00,3.6
10474,2014-11-30T23:59:00,4.2
10502,2014-12-01T23:59:00,6.6
10537,2014-12-02T23:59:00,9.2
10582,2014-12-03T23:59:00,7.7
10607,2014-12-04T23:59:00,5.8
10648,2014-12-05T23:59:00,6.1
10715,2014-12-06T23:59:00,4.1
10741,2014-12-07T23:59:00,11.8
10772,2014-12-08T23:59:00,11.5
10825,2014-12-09T23:59:00,10.3
10872,2014-12-10T23:59:00,8.2
10903,2014-12-11T23:59:00,7.6
10930,2014-12-12T23:59:00,8.0
10959,2014-12-13T23:59:00,8.9
10986,2014-12-14T23:59:00,6.0
11011,2014-12-15T23:59:00,2.7
11051,2014-12-16T23:59:00,3.7
11089,2014-12-17T23:59:00,5.8
11115,2014-12-18T23:59:00,8.7
11142,2014-12-19T23:59:00,7.2
11169,2014-12-20T23:59:00,4.8
11203,2014-12-21T23:59:00,4.8
11237,2014-12-22T23:59:00,6.0
11295,2014-12-23T23:59:00,8.2
11358,2014-12-24T23:59:00,5.7
11390,2014-12-25T23:59:00,9.5
11415,2014-12-26T23:59:00,5.9
11440,2014-12-27T23:59:00,4.4
11467,2014-12-28T23:59:00,5.8
11492,2014-12-29T23:59:00,5.2
11517,2014-12-30T23:59:00,4.3
11542,2014-12-31T23:59:00,5.5
